Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brunei Darussalam,16.84,22.12,20.58,17.69,16.31,17.3,19.19,20.45,23.01,24.05,23.74,21.43,24.75,33.77,31,30.1,29.16,27.25,29.12,33.2,35.49,38.36,40.18,40.24,53.4,42.63,32.73,29.19,33.28,27.88,30.66,41.16,41.88,44.68,45.92,40.07,51.19,58.92,74.08,83.89,96.46,107.48,105.32,102.67,75.05,122.28,128.22,132.23,132.73,139.27,149.63,154.19,167.33,156.75
Indonesia,20.27,21.7,20.5,22.05,21.91,22.54,21.74,25.04,25.36,27.1,27.97,27.92,30.37,31.89,31.26,30.93,32.32,34.4,35.9,39.03,41.84,41.68,44.81,48.83,49.94,52.92,53.72,56.79,60.18,62.31,63.13,68.63,69.59,70.79,77.74,78.01,75.26,75.17,75.61,78.33,80.91,86.08,91.79,95.68,98.04,106.27,108.85,113.79,121.04,123.87,126.35,136.08,137.22,140.2
Cambodia,39,34.94,42.8,45.1,41.96,40.87,43.26,53.42,45.09,60.41,47.31,37.45,27.25,21.4,25.14,24.6,22.85,21.4,14.75,27.96,26.69,33.84,36.3,27.88,35.8,39.86,37.13,47.22,49.4,47.39,46.85,47.31,49.19,47.29,61.66,62.13,63.77,64.55,72.82,74.27,75.69,72.33,86.1,81.95,104.16,113.89,119.61,130.15,135.31,147.28,169.32,174.05,175.4,176.65
Lao PDR,17.78,17.35,17.62,22.66,23.16,23.95,25.65,24.83,27.41,27.55,25.62,25.49,26.25,26.72,26.12,22.01,22.96,23.81,28.01,33.3,36.05,35.26,35.81,41.03,42.48,44.15,40.38,36.79,46.39,48.97,43.05,50.59,47.6,54.77,51.98,51.66,58.1,60.36,73.32,81.73,84.16,92.84,91.27,96.3,100.97,102.73,110.13,112.74,120.14,126.58,139.13,147.29,156.44,182.68
Myanmar,21.39,23.85,24.79,26.03,25.3,22.29,24.82,25.14,24.96,25.83,26.55,24.95,27.27,27.58,28.94,29.41,30.21,33.1,33.54,39.23,42.54,44.83,45.7,46.99,48.15,48.33,47.21,45.98,43.65,43.11,42.6,46.75,52.14,55.34,57.43,58.79,58.95,59.96,66.66,72.93,78.97,81.77,87.92,91.89,97.7,110.41,116.48,125.84,129.96,132.19,131.67,120.26,124.73,127
Malaysia,8.78,8.96,9.39,9.33,10.22,10.33,10.64,11.94,13.04,14.17,15.23,16.12,16.66,18.49,20.23,21.36,22.12,22.08,25.83,27.61,28.93,32.55,30.67,33.98,37.49,40.17,41.29,44.96,51.43,53.65,55.18,57.84,64.52,64.37,66.93,69.45,72.18,68.27,76.7,78.03,82.78,84.43,91.57,94.88,100.28,104.84,105.47,115,115.16,114.95,124.63,125.13,128.8,130.39
Philippines,26.31,28.11,29.26,29.72,30.38,31.39,31.91,32.12,33.83,35.2,36.68,36.11,37.91,41.71,45.25,48.88,50.14,51.68,53.73,56.05,57,58.81,54.73,56.09,56.33,60.51,59.11,59.58,62.59,69.11,69.6,71.12,72.46,74.66,75.07,80.5,81.17,75.28,81.49,84.45,88.15,91.22,94.13,97.39,99.81,102.8,109.84,113.52,113.52,112.61,116.09,120.62,120.81,120.97
Singapore,422.88,420.17,415.72,420.62,448.78,468.54,474.34,513.79,655.79,655.23,749.82,859.77,855.07,866.35,961.88,1060.05,1075.15,1053.58,1067.08,1094.43,1033.61,991.07,997.32,989.32,852.79,769.77,681.24,516.4,507.42,490.79,416.36,339.02,220.41,163.03,162.81,131.4,181.07,159.98,171.37,69.97,71.08,93.14,101.93,116.67,90.05,93.29,95.94,89.3,91.81,92.25,101.12,104.97,112,111.76
Thailand,26.36,28.2,29.93,29.27,29.82,33.92,31.11,33.37,35.67,36.88,37.23,35.75,42.34,41.63,45.78,49.39,49.64,57.04,53.01,58.27,59.68,59.62,62.66,64.65,67.26,63.29,63.69,69.26,72.65,68.79,75.73,78.26,78.95,79.31,80.7,83.35,84.94,82.39,85.5,93.02,95.78,97.72,103.81,100.19,97.85,101.96,112.02,110.85,114.47,113.32,121.27,132.59,130.35,127.05
Vietnam,20.92,22.21,22.25,22.55,22.44,21.29,22.39,21.27,21.82,23.71,24.26,24.86,25.4,25.3,24.03,27.2,26.58,26.64,29.69,31.33,33.36,36.85,38.02,40.34,40.79,42.4,42.57,44.88,48.29,49.23,49.45,53.44,55.91,58.31,61.31,64.17,67.79,70.53,75.72,76.94,81.62,88.23,91.96,96.38,100.31,103.31,107.25,113.26,115.94,118.63,123.21,131.67,131.65,134.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
